hprd_id	geneSymbol	refseq_id	all_nomenclature(separated by semi-colon)
14084	-	NP_997209.1	LOC149134
14085	C1orf84	NP_001012978.1	LOC149469;FLJ34502;RP11-506B15.1;RP11-506B15.1 protein;RP11-506B15.1 protein isoform 1;RP11-506B15.1 protein isoform 3;RP11-506B15.1 protein isoform 2
14086	PRNT	NP_808217.1	LOC149830
14087	C22orf42	NP_001010859.1	dJ90G24.6;RP1-127L4.6
14088	-	BAB71531.1	LOC150759
14089	GPAT2	NP_997211.2	LOC150763
14090	FAM119A	NP_660323.3	MGC45373;LOC151194;Hepatocellular carcinoma-associated antigen 557b
14091	-	NP_612491.1	LOC151534
14092	C3orf59	NP_848591.2	Similar to BcDNA:GH11415 gene product;LOC151963
14093	-	NP_919265.1	-
14094	-	NP_612496.1	-
14095	ZNF827	NP_849157.2	LOC152485
14096	NIPAL1	NP_997213.1	LOC152519;DKFZp686A06115;NIPA-like protein 1
14097	KLB	NP_783864.1	LOC152831
14098	-	NP_660325.4	LOC153328
14099	MBLAC2	NP_981951.1	LOC153364;MGC46734
14100	GUSBP1	NP_997214.1	-
14101	-	NP_919266.1	LOC153684
14102	TMEM65	NP_919267.2	LOC157378
14103	ANKRD46	NP_940683.1	LOC157567;Ankyrin repeat small protein;Ankyrin repeat domain-containing protein 46;ANK-S
14104	C8orf37	NP_808880.1	LOC157657;FLJ30600
14105	ERICH1	NP_997215.1	HSPC319;Glutamate-rich protein 1
14106	-	NP_001026914.1	-
14107	ADAD2	NP_631913.3	-
14108	FAM134C	NP_835227.1	LOC162427;Family with sequence similarity 134, member C;DKFZp686B1036;FLJ33806
14109	KANK4	NP_859063.3	FLJ10884;KIAA0172;dJ1078M7.1;RP5-1155K23.5;Ankyrin repeat domain-containing protein 38
14110	FAM179A	NP_954974.2	Similar to RIKEN cDNA 4632412N22 gene
14111	UGT3A2	NP_777574.1	EC 2.4.1.17;MGC119429;MGC119426
14112	ZNF800	NP_789784.2	FLJ43301;MGC130032;MGC130033
14113	IDO2	NP_919270.2	LOC169355;Indoleamine 2,3-dioxygenase-like 1;EC 1.13.11.-
14114	MPZL3	NP_938016.1	LOC196264
14115	AMN1	NP_001106873.1	AMN1 homolog
14116	PLBD2	NP_775813.2	LOC196463
14117	ACSF3	NP_777577.2	LOC197322;FLJ39242
14118	-	NP_660337.3	-
14119	C19orf59	NP_777578.2	MCEMP1;MGC132456;Chromosome 19 open reading frame 59
14120	C1orf168	NP_001004303.3	FLJ43208;RP4-758N20.2;LOC199920
14121	TMEM61	NP_872338.1	-
14122	CDCP2	NP_963840.2	CUB domain-containing protein 2
14123	NBPF11	NP_899228.3	LOC200030;NBG
14124	-	NP_872341.1	LOC200261
14125	FAM18B2	NP_660344.2	MGC8763;LOC201158
14126	PLD6	NP_849158.1	Similar to CG12314 gene product
14127	SAMD14	NP_777580.1	FLJ36890;Sterile alpha motif domain-containing protein 14
14128	C17orf74	NP_783861.3	LOC201243
14129	C4orf34	NP_777581.1	LOC201895;FLJ13289
14130	-	NP_660346.1	Similar to RIKEN cDNA 2310008M10
14131	-	NP_777585.1	LOC205251
14132	C11orf76	NP_660351.1	Putative uncharacterized protein C11orf76
14133	-	NP_954977.2	-
14134	CBWD5	NP_958861.2	LOC220869;OTTHUMP00000063357;Dopamine responsive protein
14135	N6AMT2	NP_777588.1	LOC221143;N-6 adenine-specific DNA methyltransferase 2
14136	PRR15	NP_787083.1	Proline rich 15
14137	CCDC129	NP_919276.2	FLJ38344;Coiled-coil domain-containing protein 129
14138	HEPACAM2	NP_001034461.1	LOC253012;Hypothetical protein LOC253012 isoform 1;Hypothetical protein LOC253012 isoform 2
14139	ASPHD1	NP_944497.1	Aspartate beta-hydroxylase domain-containing protein 1;EC 1.14.11.-
14140	TMCO4	NP_859070.3	RP5 1056L3.6;DKFZp686C23231
14141	NPNT	NP_001028219.1	EGFL6L;POEM
14142	SLC25A45	NP_872362.2	Solute carrier family 25, member 45 isoform a;LOC283130;Solute carrier family 25, member 45 isoform b
14143	TMEM80	NP_001035928.1	LOC283232;Hypothetical protein LOC283232 isoform 2;Hypothetical protein LOC283232 isoform 1
14144	C13orf29	NP_848609.1	LOC283487
14145	SIAH3	NP_942146.2	LOC283514;FLJ39203
14146	SLC46A3	NP_001129391.1	FKSG16;FLJ42613;OTTHUMP00000018184
14147	C15orf37	NP_787094.1	LOC283687;FLJ33788
14148	EXOC3L	NP_848611.2	FLJ35539;FLJ35587;MGC88052
14149	-	NP_787097.1	MGC125469;MGC125470
14150	CCDC57	NP_932348.2	FLJ00130;FLJ23754;MGC102869
14151	C17orf58	NP_858041.2	LOC284018 isoform a;LOC284018 isoform b;LOC284018;MGC138278
14152	-	NP_787104.2	MGC138402
14153	C19orf63	NP_996261.1	Hematopoietic signal peptide containing membrane domain containing 1;Hematopoietic signal peptide containing secreted 1;INM02;MGC33203;LOC284361;Hematopoietic signal peptide-containing isoform 1;Hematopoietic signal peptide-containing isoform 2
14154	C1orf111	NP_872387.2	RP11 565P22.3;HSD20;LOC284680
14155	-	NP_976309.1	LOC284912;MGC3170
14156	SH2D6	NP_940884.1	Similar to B-cell linker;B cell linker protein;LOC284948 isoform a;FLJ35993
14157	-	BAC05420.1	FLJ25945
14158	RNF212	NP_001124506.1	FLJ38841;MGC120227;MGC120228
14159	GPRIN3	NP_938022.2	GRIN3;FLJ42625;G protein-regulated inducer of neurite outgrowth 3
14160	-	NP_859073.2	-
14161	ZNF789	NP_998768.2	LOC285989 isoform 2;LOC285989 isoform 1
14162	ZNF707	NP_776192.2	-
14163	C9orf142	NP_899064.1	LOC286257;OTTHUMP00000022672
14164	RFESD	NP_001124537.1	-
14165	TMEM95	NP_937797.1	UNQ9390;MGC129793;LOC339168
14166	TMEM52	NP_848640.1	-
14167	C1orf222	NP_001003808.1	MGC133181
14168	-	NP_848641.1	FLJ30998
14169	-	NP_997240.1	MGC161518
14170	ESPNL	NP_919288.2	FLJ42568;MGC99829
14171	C2orf46	NP_997241.1	FLJ45673
14172	CCDC36	NP_835467.2	FLJ25320
14173	TMEM173	NP_938023.1	FLJ38577;LOC340061
14174	FAM170A	NP_877438.2	ZNFD;MGC149385;Znf domain containing protein
14175	AGBL3	NP_848658.1	FLJ12983;MGC32955;Cytosolic carboxypeptidase 3;CCP3
14176	-	NP_981952.1	LOC340602;MGC47837
14177	FCRL6	NP_001004310.2	LOC343413;Leukocyte receptor;IgSF type I transmembrane receptor;FcRH6;FLJ16056;Fc receptor-like 6;Fc receptor-like protein 7;FcR-like protein 6
14178	ANKDD1A	NP_874362.3	FLJ25870;MGC120305;MGC120306;MGC120307
14179	FAM195B	NP_997251.2	MGC133184;DKFZp686A17165
14180	-	NP_942148.1	LOC348645
14181	-	NP_872437.1	-
14182	-	NP_938025.1	-
14183	WDR86	NP_938026.2	MGC129839
14184	C9orf164	NP_872441.1	FLJ39737;LOC349236
14185	C19orf51	NP_849159.2	LOC352909 isoform 1;FLJ36139;FLJ40069;LOC352909
14186	TMEM179B	NP_955369.1	Similar to RIKEN cDNA 1810059G22
14187	KIF7	NP_940927.2	UNQ340;MGC120653;MGC138476;MGC138478;EQYK340
14188	SPEM1	NP_955371.2	FLJ40081;LOC374768
14189	C19orf68	NP_955373.2	MGC50339
14190	SPATA21	NP_940948.1	MGC27074;Spergen2;Spergen-2;RP11-430L17.3
14191	CCDC23	NP_955374.1	-
14192	SFT2D2	NP_955376.1	UNQ512;dJ747L4.C1.2;RP4-747L4.1;Vesicle transport protein SFT2B
14193	LIPI	NP_945347.1	mPA-PLA1 beta;Membrane associated phosphatidic acid selective phospholipase A1 beta;LPDL;PRED5;lipase member I
14194	-	NP_955377.3	LOC375133;FLJ44912;MGC31920
14195	MAST4	NP_055998.1	Similar to microtubule associated testis specific serine/threonine protein kinase;LOC375449;Microtubule associated serine/threonine kinase familymember 4 isoform b;Microtubule associated serine/threonine kinase family member 4 isoform a
14196	KCP	NP_001129386.1	LOC375616
14197	C9orf50	NP_955382.3	FLJ35803;LOC375759
14198	SLC22A25	NP_955384.3	-
14199	-	NP_982250.1	LOC388152;MGC60197
14200	CCDC103	NP_998772.1	FLJ13094;FLJ34211
14201	RPRML	NP_981945.1	MGC43894;MGC131790
14202	C17orf82	NP_982249.1	LOC388407
14203	-	NP_001005472.1	LOC388524
14204	FAM69A	NP_001006606.2	FLJ23493;LOC388650
14205	TMEM81	NP_976310.1	Similar to Riken cDNA 4930429O20
14206	KRTAP26-1	NP_981950.1	KRTAP26-1;MGC71787;LOC388818;Keratin-associated protein 26-1
14207	-	NP_001006607.1	-
14208	C22orf36	NP_997527.2	MGC131773;LOC388886;Leucine-rich repeat-containing protein C22orf36
14209	BOLA3	NP_997717.2	BolA-like 3 isoform 2;BolA-like 3 isoform 1;Similar to RIKEN 1810056O20
14210	C3orf54	NP_976248.1	LOC389119;MGC20416
14211	-	NP_981968.1	Hypothetical gene supported by BC031673
14212	-	NP_976327.1	Hypothetical gene supported by BC031661;MGC:35170
14213	RBM12B	NP_976324.2	Similar to RIKEN cDNA 3000004N20;MGC:33837
14214	CSAG3	NP_976056.1	Similar to Taxol resistant associated protein 3 (TRAG-3);LOC389903
14215	-	NP_996669.1	-
14216	METTL10	NP_997719.2	LOC399818
14217	-	AAM98753.1	Hypothetical gene supported by AY129010
14218	C11orf87	NP_997528.1	Similar to expressed sequence AI593442
14219	C13orf36	NP_982276.2	LOC400120;MGC33996
14220	FAM174B	NP_997329.2	Hypothetical gene supported by AK075564; BC060873
14221	-	NP_997529.2	LOC400696
14222	C4orf40	NP_999876.2	LOC401137
14223	C4orf3	NP_001001701.2	LOC401152 protein
14224	DUOXA2	NP_997464.2	Similar to Numb interacting homolog gene;Hypothetical protein LOC405753
14225	-	NP_001017986.1	-
14226	MAP1LC3C	NP_001004343.1	LOC440738
14227	LRRC37A2	NP_001006608.2	LOC474170
14228	C2orf86	NP_056994.3	DKFZp686C12204;Hypothetical protein LOC51057 isoform 1;Hypothetical protein LOC51057 isoform 2
14229	ZNF691	NP_056995.1	Zfp691;RP11-342M1.5
14230	FAM135B	NP_056996.2	C8ORFK32;MGC33221;MGC126009;MGC126010;LOC51059
14231	-	AAD47041.1	Erythrocyte transmembrane protein
14232	-	AAD51813.1	-
14233	TMEM85	NP_057538.1	PIG17;FLJ90746;MGC24415;LOC51234;Cell proliferation-inducing gene 17 protein
14234	TMEM69	NP_057570.2	C1orf154;FLJ21029;MGC104183;RP11-767N6.4
14235	FAM178B	NP_057574.2	-
14236	RNF181	NP_057578.1	HSPC238
14237	AMZ2	NP_057711.3	AMZ2;Archaemetzincins-2 isoform 1;Archaemetzincins-2 isoform 2
14238	ZNF771	NP_057727.2	LOC51333
14239	PRR16	NP_057728.1	LOC51334
14240	-	AAF65449.1	Mesenchymal stem cell protein DSCD28
14241	C8orf55	NP_057731.1	LOC51337
14242	UBE2D4	NP_057067.1	LOC51619 protein
14243	TMCO1	NP_061899.1	PCIA3;TMCC4;HP10122;PNAS-136;RP11-466F5.7;Xenogeneic cross-immune protein;Transmembrane and coiled-coil domains 4;Transmembrane and coiled-coil domain-containing protein 1
14244	ZNF821	NP_060000.1	-
14245	-	NP_061157.2	LOC55908;PRO1185;PVPA599
14246	C1orf183	NP_061972.1	FLJ31105;OTTHUMP00000059083;Hypothetical protein LOC55924;Novel human gene mapping to chomosome 1;LOC55924 isoform 1;LOC55924 isoform 2
14247	ZMAT5	NP_061976.1	U11/U12 snRNP 20K;LOC55954
14248	FAM54B	NP_062457.3	LOC56181 protein;MST116;MSTP116;HYST1888;Hypothetical protein LOC56181 isoform a
14249	NDUFA4L2	NP_064527.1	NUOMS;NADH: ubiquinone oxidoreductase MLRQ subunit homolog
14250	PNO1	NP_064528.1	Putatative 28 kDa protein
14251	SEMA3G	NP_064548.1	LOC56920;FLJ00014
14252	DUS3L	NP_064560.2	DUS3;FLJ13896;tRNA-dihydrouridine synthase 3-like
14253	WDR93	NP_064597.1	Hypothetical protein from EUROIMAGE 384293
14254	LYRM1	NP_065157.1	A211C6.1
14255	ASPHD2	NP_065170.2	Similar to aspartate beta hydroxylase (ASPH);LOC57168;ASPH
14256	SMAGP	NP_065200.2	Small cell adhesion glycoprotein;Small cell transmembrane and glycosylated protein;LOC57228
14257	-	AAG03018.1	LOC57399
14258	C1orf114	NP_067002.1	FLJ25846;RP1-206D15.2;LOC57821
14259	-	NP_071380.1	LOC63928;HCA520
14260	GLT8D2	NP_112592.1	LOC83468
14261	C1orf79	AAK07540.1	RP4-669K10.5
14262	GTPBP10	NP_149098.2	UG0751c10;LOC85865;BC004923;Claudin 12 isoform 1;Claudin 12 isoform 2
14263	A2LD1	NP_149101.1	LOC87769;OTTHUMP00000040728
14264	-	NP_149102.3	CG016 protein
14265	GLB1L2	NP_612351.2	LOC89944;MST114;MSTP114
14266	FAM105B	NP_612357.4	LOC90268;FLJ34884
14267	TP53I13	NP_612358.3	DSCP1
14268	ZNF766	NP_001010851.1	-
14269	FER1L5	NP_001070868.1	-
14270	CTU1	NP_660275.2	-
14271	DCAF15	AAH80575.1	LOC90379;MGC99481
14272	SHF	NP_612365.2	MGC126650;MGC126652
14273	C1orf201	NP_835223.1	FLJ33340;LOC90529
14274	CCDC74A	NP_620125.1	FLJ40345
14275	C19orf52	NP_612367.1	LOC90580
14276	LYRM7	NP_859056.2	C5orf31;FLJ20796;MGC24679;LYR motif-containing protein 7
14277	ZFAND2A	NP_872297.2	AIRAP;Arsenite-inducible RNA-associated protein;Zinc finger, AN1-type domain containing protein 2A
14278	CCDC126	NP_620126.2	Alpha-1,3(6)-mannosylglycoprotein beta-1,6-N-acetyl-glucosaminyltransferase-like;FLJ23031;MGC104248
14279	ANGEL2	NP_653168.2	Similar to RIKEN cDNA 2610307I21;RP11-275G3.2
14280	PRMT10	NP_612373.2	LOC90826;FLJ46629
14281	-	NP_787066.1	-
14282	ZNF682	NP_149973.1	LOC91120;BC39498_3;Zinc finger protein 682 isoform 2;Zinc finger protein 682 isoform 1
14283	SLC25A46	NP_620128.1	-
14284	ANKRD44	NP_710181.1	MGC21968;MGC70444;Ankyrin repeat domain-containing protein 44
14285	ZNF765	NP_001035275.1	BC001610
14286	ZNF845	NP_612383.1	LOC91664
14287	ALKBH8	NP_620130.2	FLJ38204;MGC10235
14288	NDUFAF2	NP_777549.1	MMTN;B17.2L;FLJ22398;Mimitin, mitochondrial;Myc-induced mitochondrial protein;B17.2-like
14289	MTSS1L	NP_612392.1	ABBA-1;LOC92154
14290	TMEM129	NP_001120738.1	D4S2561E;FLJ25600;LOC92305
14291	C1orf105	NP_640333.3	-
14292	CCDC64	NP_997194.2	H_267D11.1;WUGSC:H_267D11.1;FLJ26450
14293	TMEM169	NP_612399.1	FLJ34263;DKFZp781L2456;LOC92691
14294	UBE2Q2	NP_775740.1	DKFZp762C143;EC 6.3.2.19;Ubiquitin-protein ligase Q2;Ubiquitin carrier protein Q2
14295	C13orf27	NP_620134.3	LOC93081;OTTHUMP00000040735;OTTHUMP00000018669
14296	-	NP_001074004.1	LOC93082;LINCR
14297	TMEM44	NP_612408.3	Hypothetical protein LOC93109;Hypothetical protein BC007772;Hypothetical protein LOC93109 isoform b;Hypothetical protein LOC93109 isoform a
14298	FAM125A	NP_612410.1	FLJ32495;LOC93343;CIN85/CD2AP family-binding protein
14299	SP140L	NP_612411.4	LOC93349;MGC132667
14300	-	NP_619644.1	LOC93622
14301	-	NP_660280.1	-
14302	-	NP_563614.1	-
14303	LRRC37A	NP_055649.3	DKFZp686N1231
14304	LPGAT1	NP_055688.1	FAM34A;FAM34A1;KIAA0205;Family with sequence similarity 34, member A
14305	LPHN1	NP_001008701.1	CL1;LEC2;CIRL1;KIAA0821;Calcium independent alpha latrotoxin receptor 1;Lectomedin 2;Latrophilin 1 isoform 2 precursor;Latrophilin 1 isoform 1 precursor
14306	ERAP2	NP_071745.1	L-RAP;LRAP
14307	LRCH1	NP_055931.1	Leucine rich repeats and calponin homology (CH) domain containing 1;CHDC1;KIAA1016;Calponin homology domain containing protein 1;Neuronal protein 81;NP81
14308	LRCH3	NP_116162.1	Leucine rich repeats and calponin homology (CH) domain containing 3;MGC4126;2210409B11Rik
14309	LRFN3	NP_078785.1	MGC2656
14310	LRFN4	NP_076941.2	MGC3103
14311	LRP10	NP_054764.2	MGC8675;MSTP087;MST087;SP220;UNQ389/PRO724;DKFZP564C1940
14312	LRRC14	NP_055480.1	KIAA0014
14313	LRRC19	NP_075052.1	FLJ21302
14314	LRRC20	NP_997002.1	FLJ10751;FLJ10844;Hypothetical protein FLJ37415;LKKM2429;Leucine rich repeat containing 20 isoform 3;Leucine rich repeat containing 20 isoform 2;Leucine rich repeat containing 20 isoform 1
14315	LRIT1	NP_056428.1	PAL;DKFZP434K091;Retina specific protein PAL;Photoreceptor associated LRR superfamily protein
14316	LRRC28	NP_653199.2	FLJ34269;FLJ45242;MGC24976
14317	LRRC29	NP_036295.1	FBL9;FBXL9;F box and leucine rich repeat protein 9;F box protein FBL9
14318	LRRC3B	NP_443185.1	LRP15;UNQ195/PRO221
14319	LRRK1	NP_078928.3	FLJ23119;KIAA1790
14320	LRRN1	NP_065924.3	KIAA1497;Leucine rich repeat neuronal 1
14321	LRRN3	NP_060804.3	NLRR3;FLJ11129;Hypothetical protein DKFZp761K2424
14322	LINGO1	NP_116197.4	LERN1;UNQ201;FLJ14594;MGC17422;Leucine rich repeat neuronal protein 1
14323	LRRTM1	NP_849161.2	FLJ32082
14324	LRRTM3	NP_821079.3	Leucine rich repeat transmembrane neuronal 3
14325	LRSAM1	NP_612370.3	TAL;RIFLE;Tsg101-associated ligase;UNQ6496/PRO21356;FLJ31641;LOC90678;EC 6.3.2
14326	LSM10	NP_116270.1	MST074;MSTP074;MGC15749;U7 snRNP-specific Sm-like protein LSM10;U7 snRNA-associated Sm-like protein LSM10
14327	LXN	NP_064554.3	Latexin protein;MUM
14328	LY6G5C	NP_079538.3	G5c;NG33;C6orf20;LY6G5CA;LY6G5CB;Lymphocyte antigen 6 G5C;Chromosome 6 open reading frame 20;Lymphocyte antigen 6 complex G5C;Lymphocyte antigen 6 complex G5C isoform D;Lymphocyte antigen 6 complex G5C isoform C;Lymphocyte antigen 6 complex G5C isoform B
14329	LY6G6C	NP_079537.1	G6c;NG24;C6orf24;Protein NG24;Chromosome 6 open reading frame 24;Lymphocyte antigen 6 G6C
14330	LY6G6E	NP_077028.1	-
14331	LYG2	NP_783862.2	-
14332	STRADA	NP_001003787.1	STE20 related adaptor protein;LYK5;STRAD;FLJ90524;Protein kinase LYK5 isoform 1;Protein kinase LYK5 isoform 2;Protein kinase LYK5 isoform 4;Protein kinase LYK5 isoform 3
14333	LYPD1	NP_653187.3	MGC29643;LY6/PLAUR domain containing 1 isoform b;LY6/PLAUR domain containing 1 isoform a
14334	LYPD2	NP_991108.1	UNQ430;LY6/PLAUR domain containing 2;RGTR430
14335	LYPLAL1	NP_620149.1	Hypothetical protein BC016711
14336	LYZL1	NP_115906.3	LYC2;KAAG648;PRO1278;MGC33408;bA534G20.1
14337	LYZL2	AAH66294.1	Lysozyme 2;Lysozyme-like 2 isoform 2
14338	LYZL4	NP_653235.1	MGC26768;1810009N24Rik
14339	LYZL6	NP_065159.1	LYC1
14340	LZIC	NP_115744.2	MGC15436
14341	LZTS2	NP_115805.1	LAPSER1;KIAA1813
14342	MTF2	NP_031384.1	RP5-976O13.1;Metal-response element DNA-binding protein M96;M96
14343	TMEM97	NP_055388.2	MAC30;LOC27346
14344	ZCRB1	NP_149105.3	MADP 1;MGC26805;U11/U12 snRNP 31K
14345	MAF1	NP_115648.2	MGC20332;MGC31779;MGC39758;DKFZp586G1123
14346	MAFA	NP_963883.2	v-maf musculoaponeurotic fibrosarcoma oncogene homolog A;RIPE3b1
14347	MAGEA2B	NP_705692.1	MGC16973;MAGEA2;Melanoma antigen 2;Melanoma associated antigen 2;Melanoma antigen, family A, 2, copy b;MAGE2 antigen;MAGEA2A
14348	MAGEF1	AAG30208.1	MAGE F1 antigen;Melanoma associated antigen F1;MGC19617
14349	CNKSR3	NP_775786.2	Membrane associated guanylate kinase interacting protein like 1;BAIAP1;BAI1 associated protein
14350	NAA50	NP_079422.1	Hypothetical protein FLJ13194;MAK3P;FLJ13194;MAK3
14351	MAL2	NP_443118.1	MAL2 protein;MAL proteolipid protein 2
14352	MDGA2	NP_001106970.1	MDGA2;c14_5286;MAM domain-containing glycosylphosphatidylinositol anchor protein 2;UNQ8188/PRO23197
14353	MAMDC2	NP_694999.3	MGC21981 protein;MAM domain containing 1
14354	MAN1C1	NP_065112.1	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC;EC 3.2.1.113;Processing alpha-1,2-mannosidase IC;Alpha-1,2-mannosidase IC;Mannosidase alpha class 1C member 1;HMIC;1,2-alpha-mannosidase IC
14355	MAN2B2	NP_056089.1	KIAA0935;Epididymis-specific alpha-mannosidase;EC 3.2.1.24
14356	MANBAL	NP_071360.1	Hypothetical protein dJ1141E15.2
14357	MANEA	NP_078917.2	Mandaselin;FLJ12838 protein;Hypothetical protein DKFZp686O24118
14358	MAP1LC3B	NP_073729.1	MAP1A/1BLC3;Microtubule-associated proteins 1A/1B light chain 3;MAP1A/1B light chain 3 B
14359	MAP3K15	NP_001001671.2	FLJ16518;bA723P2.3
14360	MARCH9	NP_612405.2	MARCH-IX
14361	MARCH2	NP_001005415.1	Membrane associated ring finger (C3HC4) 2;RNF172;HSPC240;MARCH II;RING finger protein 172;Membrane-associated ring finger (C3HC4) 2 isoform 1;Membrane-associated RING-CH protein II;Membrane-associated ring finger (C3HC4) 2 isoform 2
14362	MARCH3	NP_848545.1	MGC48332 protein;Membrane associated RING CH protein 3;RNF173
14363	MARS2	NP_612404.1	Methionine tRNA ligase;Mitochondrial methionyl tRNA synthetase;Methionine tRNA synthetase 2 (mitochondrial);MetRS;mtMetRS
14364	MARVELD1	NP_113672.1	GB14;MARVD1;MGC4415;MRVLDC1;FLJ22343;FLJ23440;RP11-548K23.8
14365	MARVELD3	NP_001017967.2	MARVD3;MRVLDC3;MARVEL (membrane-associating) domain containing 3;Hypothetical protein FLJ32280;MARVEL domain containing 3 isoform 1;MARVEL domain containing 3 isoform 2
14366	PBLD	NP_071412.2	MAWBP;FLJ35507;Unknown protein 32 from 2D-page of liver tissue;MAWD binding protein isoform a;MAWD binding protein isoform b
14367	ESYT1	NP_056107.1	KIAA0747
14368	MBIP	NP_057670.2	MUK-binding inhibitory protein;MAPK upstream kinase-binding inhibitory protein;BM-015
14369	MBTD1	NP_060113.2	SA49P01 protein;FLJ20055 protein;Hypothetical protein FLJ20055
14370	MCART1	NP_219480.1	CG7943;MGC14836
14371	MCF2L	NP_001106203.1	DBS;OST;ARHGEF14;FLJ12122;KIAA0362;DBL`s big sister;MCF.2 cell line derived transforming sequence like
14372	SLC25A40	NP_061331.2	MCFP
14373	TMEM190	NP_631911.1	-
14374	MDGA1	NP_705691.1	GPIM;MAM domain containing protein 3;GPI and MAM protein;MAMDC3;Glycosyl phosphatidyl inositol MAM
14375	MDH1B	NP_001034934.1	FLJ25341;RP11-95H11
14376	MDM1	NP_059136.2	Nuclear protein double minute 1;Mdm4, transformed 3T3 cell double minute 1, p53 binding protein isoform 1;Mdm4, transformed 3T3 cell double minute 1, p53 binding protein isoform 2
14377	PPCDC	NP_068595.3	MDS018;FLJ14585;EC 4.1.1.36;PPC-DC;CoaC
14378	CCDC90B	NP_068597.2	MDS011;MDS025;MGC104239
14379	ITFG2	NP_060933.2	-
14380	MED25	NP_112235.2	ARC92;ACID1;TCBAP0758;DKFZp434K0512 protein;P78;MGC70671 protein;ARC/mediator transcriptional coactivator subunit prostate-derived protein 78 kDa Activator interaction domain 1 protein;ARC/mediator transcriptional coactivator subunit
14381	MED28	NP_079481.2	EG1;Magicin;Mediator of RNA polymerase II transcription subunit 28 homolog;FKSG20 protein;Endothelial-derived protein 1;Tumor angiogenesis marker EG-1;Merlin and Grb2 interacting cytoskeletal protein
14382	MED31	NP_057144.1	CGI-125 protein;Mediator complex subunit SOH1;3110004H13Rik
14383	MED9	NP_060489.1	MED25;FLJ10193;Mediator subunit 25;Mediator of RNA polymerase II transcription, subunit 9
14384	MEGF10	NP_115822.1	MEGF10;KIAA1780
14385	MEGF11	NP_115821.2	MEGF11;KIAA1781
14386	MEIS3	NP_064545.1	MRG2;DKFZp547H236;Homeodomain protein;Meis1 myeloid ecotropic viral integration site 1 homolog 3;Meis1 related protein 2;Homeobox protein Meis3 variant;Meis1, myeloid ecotropic viral integration site 1 homolog 3 isoform 1;Meis1, myeloid ecotropic viral integration site 1 homolog 3 isoform 2
14387	WDR77	NP_077007.1	MEP50 protein
14388	METRN	NP_076947.1	MGC2601;stSG15558;RJD6;C16orf23;c380A1.2
14389	METTL3	NP_062826.2	M6A;Spo8;MT-A70;EC 2.1.1.62;2310024F18Rik;Putative methyltransferase;Methyltransferase like protein 3;mRNA m(6) A methyltransferase;AdoMet binding subunit of the human mRNA;N6 adenosine methyltransferase 70 kDa subunit
14390	METTL4	NP_073751.3	HsT661;FLJ23017
14391	MFAP3L	NP_067679.6	NYD-sp9;Protein kinase NYD-sp9;HSD-39;KIAA0626;Microfibrillar-associated protein 3-like isoform 2;Microfibrillar-associated protein 3-like isoform 1
14392	MGAT5B	NP_945193.1	GnT-IX;GnT-VB;FLJ25132;Beta(1,6) -N-acetylglucosaminyltransferase V;Beta(1,6)-N-acetylglucosaminyltransferase V isoform 2;Beta(1,6)-N-acetylglucosaminyltransferase V isoform 1;KIAA2008;N-acetylglucosaminyltransferase IX
14393	RWDD4A	NP_689895.2	FAM28A;MGC10198;Family with sequence similarity 28, member A
14394	ALDH16A1	NP_699160.2	MGC10204
14395	VPS26B	NP_443107.1	Pep8b;MGC10485;Vesicle protein sorting 26B
14396	VPS25	NP_115729.1	DERP9;EAP20;FAP20;MGC10540;Vacuolar protein sorting 25;hVps25;ELL-associated protein of 20 kDa;Dermal papilla-derived protein 9
14397	CBX2	NP_005180.1	CDCA6;M33;MGC10561;M33 polycomb-like;Cell division cycle associated 6;Modifier 3;Chromobox homolog 2;Chromobox homolog 2 isoform 1;Chromobox homolog 2 isoform 2
14398	-	AAH04487.1	LOC84744
14399	C1orf89	NP_112169.2	RPRP4-733M16.4;MGC10731;LOC79363;Miro domain-containing protein C1orf89
14400	TMEM107	NP_115730.2	GRVS638;PRO1268;LOC84314;Hypothetical protein LOC84314 isoform 1;Hypothetical protein LOC84314 isoform 2;MGC10744
14401	FAM167B	NP_116037.2	MGC10820;LOC84734
14402	-	AAH14919.1	LOC84736
14403	TCHP	NP_115676.1	Hypothetical protein MGC10854
14404	PSMG3	NP_115678.1	PAC3;MGC10911
14405	C12orf39	NP_085049.1	MGC10946;LOC80763
14406	-	AAH04397.1	LOC84740
14407	LIMD2	NP_085053.1	MGC10986
14408	CCDC102A	NP_149989.2	MGC10992;MGC13119
14409	TMEM177	NP_085054.2	MGC10993;LOC80775
14410	YIPF4	NP_115688.1	FinGER4;MGC11061;Nbla11189;YIP1 family member 4
14411	EIF1AD	NP_115701.2	LOC84285
14412	PRR15L	NP_077296.1	MGC11242
14413	C7orf50	NP_115726.1	YCR016W;MGC11257;LOC84310
14414	CENPO	NP_077298.1	CENP-O;MGC11266;Interphase centromere complex protein 36
14415	C19orf57	NP_077299.3	MGC11271;MGC149720;LOC79173;Pre-T/NK cell associated protein (3B3)
14416	MFSD5	NP_116278.2	MGC11308
14417	AGPAT9	NP_116106.2	MAG1;GPAT3;AGPAT8;MGC11324;Lysophosphatidic acid acyltransferase theta;1-acylglycerol-3-phosphate O-acyltransferase 8;Gycerol-3-phosphate acyltransferace 3;Lung cancer metastasis-associated gene 1;LPAAT-Theta
