00001	-	NP_000680.2	ALDH1A1	General	Aldehyde dehydrogenase activity (GO:0004028)	1709013	Aldehyde metabolism (GO:0006081)	1709013	-	-
13678	-	NP_065728.1	NMRAL1	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13679	-	NP_115679.2	HSDL2	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13680	-	NP_714927.1	HSFY2	General	Transcription factor activity (GO:0003700)	15044259,14985478	Regulation of gene expression, epigenetic (GO:0040029)	15044259	Nucleus (GO:0005634); Cytoplasm (GO:0005737)	15044259,15044259
13681	-	NP_997203.1	OTUD6A	General	Cysteine-type peptidase activity (GO:0008234)	-	Protein metabolism (GO:0019538)	-	-	-
13682	-	NP_059990.2	MPHOSPH8	General	Molecular function unknown (GO:0005554)	-	Cell growth and/or maintenance (GO:0008151)	-	Nucleus (GO:0005634); Cytoplasm (GO:0005737)	8885239,17081983,8885239,17081983
13683	-	NP_443202.3	HSPA12B	General	Heat shock protein activity (GO:0003773)	-	Protein metabolism (GO:0019538)	-	-	-
13684	-	BAC03846.1	HSPB7	General	Chaperone activity (GO:0003754)	-	Protein metabolism (GO:0019538)	-	-	-
13684	13684_1	BAC03846.1	HSPB7	Isoform_specific	Chaperone activity (GO:0003754)	-	Protein metabolism (GO:0019538)	-	-	-
13685	-	BC002698.2	CCDC56	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Integral to membrane (GO:0016021)	-
13686	-	NP_057017.1	CCDC72	General	Transcription cofactor activity (GO:0003712)	16096800	DNA repair (GO:0006281); DNA replication (GO:0006260); Hemopoiesis (GO:0030097); Cell proliferation (GO:0008283); Cell differentiation (GO:0030154)	16096800,16096800,16096800,16096800,16096800	Nucleus (GO:0005634)	16096800
13687	-	NP_054766.1	C19orf53	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Nucleolus (GO:0005730)	15635413
13688	-	NP_057180.1	ZNF706	General	DNA binding (GO:0003677)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	-	-
13690	-	AAF29020.1	-	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13691	-	NP_037519.2	UQCR10	General	Oxidoreductase activity (GO:0016491)	8592474	Electron transport (GO:0006118)	8592474	Mitochondrial membrane (GO:0005740)	8592474
13692	-	NP_054874.3	ZBTB44	General	DNA binding (GO:0003677)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	-	-
13693	-	NP_054881.1	-	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13694	-	NP_057475.2	NOP16	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Nucleolus (GO:0005730)	11790298
13695	-	NP_055121.1	C22orf28	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13696	-	NP_054886.2	CCDC59	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13697	-	NP_057480.2	CTDSPL2	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Nucleus (GO:0005634)	17081983
13698	-	NP_057483.1	TRIAP1	General	Enzyme inhibitor activity (GO:0004857)	15735003	Anti-apoptosis (GO:0006916); DNA repair (GO:0006281)	15735003,15735003	Perinuclear region (GO:0048471); Mitochondrion (GO:0005739)	15735003,15735003
13699	-	AAH00921.1	METTL5	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13700	-	AAF29099.1	GTPBP8	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13700	13700_1	AAF29099.1	GTPBP8	Isoform_specific	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13701	-	NP_057485.2	C11orf73	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13702	-	NP_054892.2	C19orf62	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13702	13702_1	NP_054892.2	C19orf62	Isoform_specific	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13703	-	NP_057487.2	CWC15	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Nucleus (GO:0005634)	10873569
13704	-	NP_054895.1	UBE2T	General	Ubiquitin-specific protease activity (GO:0004843)	-	Protein metabolism (GO:0019538)	-	-	-
13705	-	NP_057488.1	TRMT112	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13706	-	NP_054896.2	C18orf55	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Integral to membrane (GO:0016021)	-
13707	-	AAF29121.1	-	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Integral to membrane (GO:0016021)	-
13708	-	NP_054900.2	-	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13709	-	NP_054903.1	CNIH4	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Integral to membrane (GO:0016021)	-
13710	-	AAH03080.1	TMEM208	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Integral to membrane (GO:0016021)	-
13711	-	NP_057293.1	TRAPPC2L	General	Molecular function unknown (GO:0005554)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
13712	-	NP_054907.1	SSU72	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13713	-	NP_057548.1	TMEM138	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13714	-	NP_932068.2	C7orf55	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Nucleus (GO:0005634); Mitochondrion (GO:0005739)	16381901,16381901
13715	-	NP_060950.2	TMEM126B	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Integral to membrane (GO:0016021)	-
13716	-	NP_060939.3	TEX2	General	Molecular function unknown (GO:0005554)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Integral to membrane (GO:0016021)	-
13717	-	NP_065095.2	C1orf128	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13718	-	NP_065729.1	LRTM1	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13719	-	NP_073564.3	TRMT2A	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13720	-	NP_001096029.1	PPAPDC1B	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13721	-	NP_037424.2	MYLPF	General	Structural molecule activity (GO:0005198)	-	Cell growth and/or maintenance (GO:0008151)	-	-	-
13722	-	NP_683762.2	HUS1B	General	Protein binding (GO:0005515)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
13723	-	NP_009007.2	FICD	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13724	-	NP_057484.3	C15orf63	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13725	-	NP_699172.2	RNF19B	General	Ubiquitin-specific protease activity (GO:0004843)	-	Protein metabolism (GO:0019538)	-	-	-
13726	-	NP_060342.2	THG1L	General	Molecular function unknown (GO:0005554)	-	Cell growth and/or maintenance (GO:0008151)	-	Cytoplasm (GO:0005737); Centrosome (GO:0005813); Nucleus (GO:0005634)	15459185,15459185,15459185
13727	-	NP_057181.1	IER3IP1	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Endoplasmic reticulum (GO:0005783)	15276200
13728	-	NP_006811.2	IFI44L	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13729	-	NP_001002915.2	IGFL2	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13730	-	NP_001002923.1	IGFL4	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13731	-	CAA40946.1	IGL@	General	Antigen binding (GO:0003823)	-	Immune response (GO:0006955)	-	-	-
13732	-	NP_849144.2	IGSF10	General	Antigen binding (GO:0003823)	-	Biological_process unknown (GO:0000004)	-	-	-
13733	-	NP_067012.1	CADM3	General	Antigen binding (GO:0003823)	-	Immune response (GO:0006955)	-	Plasma membrane (GO:0005886)	14659875
13734	-	NP_998773.1	C2orf66	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13735	-	NP_787120.1	ILDR1	General	Receptor activity (GO:0004872)	-	Biological_process unknown (GO:0000004)	-	Plasma membrane (GO:0005886)	15381095
13737	-	NP_077294.2	LILRA6	General	Receptor activity (GO:0004872)	-	Immune response (GO:0006955)	-	Plasma membrane (GO:0005886)	10941842
13739	-	NP_060909.1	IMPACT	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13740	-	NP_778250.2	C8orf42	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13741	-	NP_056538.1	PNPLA8	General	Phospholipase activity (GO:0004620)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Plasma membrane (GO:0005886); Peroxisome (GO:0005777)	10833412,10744668,10744668
13742	-	NP_055467.3	IPO13	General	Ligand-dependent nuclear receptor activity (GO:0004879)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Cytoplasm (GO:0005737); Nucleus (GO:0005634)	11447110,11447110
13743	-	NP_079002.3	IQCA1	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13744	-	NP_612460.1	IQCD	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13745	-	NP_982248.1	IQCF2	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13746	-	NP_115639.1	IQCG	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13747	-	NP_085046.4	ITIH5	General	Protease inhibitor activity (GO:0030414)	14744536	Protein metabolism (GO:0019538)	14744536	-	-
13748	-	NP_060062.1	MED29	General	Transcription regulator activity (GO:0030528)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634); Cytoplasm (GO:0005737)	15555573,15555573
13749	-	NP_115881.3	JAGN1	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13750	-	NP_998821.3	KRT39	General	Structural molecule activity (GO:0005198)	-	Cell growth and/or maintenance (GO:0008151)	-	-	-
13751	-	NP_689579.3	KLHDC9	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13752	-	NP_001008661.1	CCBL2	General	Transaminase activity (GO:0008483)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	-	-
13753	-	NP_115492.1	KATNAL1	General	ATPase activity (GO:0016887)	-	Metabolism (GO:0008152)	-	-	-
13753	13753_1	NP_115492.1	KATNAL1	Isoform_specific	ATPase activity (GO:0016887)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	-	-
13754	-	NP_112593.2	KATNAL2	General	ATPase activity (GO:0016887)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	-	-
13754	13754_1	NP_112593.2	KATNAL2	Isoform_specific	-	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	-	-
13755	-	NP_112191.2	KAZALD1	General	Protease inhibitor activity (GO:0030414)	-	Protein metabolism (GO:0019538)	-	-	-
13756	-	NP_056298.2	KBTBD2	General	Cytoskeletal protein binding (GO:0008092)	-	Cell growth and/or maintenance (GO:0008151)	-	-	-
13757	-	NP_060565.4	KBTBD4	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13758	-	NP_690867.3	KBTBD6	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13759	-	NP_115514.2	KBTBD7	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13760	-	CAD39171.2	KLHL29	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13761	-	NP_064507.3	KCMF1	General	Ubiquitin-specific protease activity (GO:0004843)	-	Protein metabolism (GO:0019538)	-	Nucleus (GO:0005634)	12810064
13762	-	NP_114160.1	KCTD10	General	Ion channel activity (GO:0005216)	-	Transport (GO:0006810)	-	-	-
13763	-	NP_001002914.1	KCTD11	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Cytoplasm (GO:0005737)	15249678
13764	-	NP_076419.2	KCTD14	General	Ion channel activity (GO:0005216)	-	Transport (GO:0006810)	-	-	-
13765	-	NP_001123466.1	KCTD15	General	Ion channel activity (GO:0005216)	-	Transport (GO:0006810)	-	-	-
13766	-	NP_057205.2	KCTD3	General	Ion channel activity (GO:0005216)	-	Transport (GO:0006810)	-	-	-
13767	-	NP_940686.2	KCTD4	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13768	-	NP_061865.1	KCTD5	General	Ion channel activity (GO:0005216)	-	Transport (GO:0006810)	-	-	-
13769	-	NP_699162.3	KCTD6	General	Ion channel activity (GO:0005216)	-	Transport (GO:0006810)	-	-	-
13770	-	NP_694578.1	KCTD7	General	Ion channel activity (GO:0005216)	-	Transport (GO:0006810)	-	-	-
13771	-	NP_938167.1	KCTD8	General	Ion channel activity (GO:0005216)	-	Transport (GO:0006810)	-	-	-
13772	-	NP_060104.2	KCTD9	General	Ion channel activity (GO:0005216)	-	Transport (GO:0006810)	-	-	-
13773	-	NP_714916.3	KDELC2	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Extracellular (GO:0005576)	-
13774	-	NP_789786.2	CCDC125	General	Ubiquitin-specific protease activity (GO:0004843)	-	Protein metabolism (GO:0019538)	-	-	-
13775	-	NP_689901.2	KHDRBS2	General	RNA binding (GO:0003723)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	12549823
13776	-	NP_055471.1	KIAA0040	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13777	-	NP_056175.3	SKIV2L2	General	Helicase activity (GO:0004386)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634); Nucleolus (GO:0005730)	none,15561729,15635413,11790298
13778	-	NP_055551.1	KIAA0101	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13779	-	NP_055607.1	KIAA0125	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13780	-	NP_055588.3	KIAA0141	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13781	-	NP_055545.1	MLEC	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Integral to membrane (GO:0016021)	-
13782	-	NP_055955.1	TTLL12	General	Ligase activity (GO:0016874)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Nucleus (GO:0005634); Cytoplasm (GO:0005737)	17081983,17081983
13783	-	NP_115558.3	FAM175B	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Cytoplasm (GO:0005737)	17081983
13784	-	NP_055576.2	KIAA0174	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13786	-	NP_055661.3	KIAA0196	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13787	-	NP_055970.1	LARP4B	General	RNA binding (GO:0003723)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634); Cytoplasm (GO:0005737)	17081983,17081983
13788	-	NP_055875.1	AVL9	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13789	-	NP_055842.2	PDXDC1	General	Carboxy-lyase activity (GO:0016831)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Nucleus (GO:0005634); Cytoplasm (GO:0005737)	17081983,17081983
13790	-	NP_001073965.1	RGP1	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13791	-	NP_001035492.1	DCUN1D4	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13792	-	AAH52341.1	FAM168A	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13793	-	NP_001124435.1	TMEM194A	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13794	-	NP_001034568.1	KIAA0317	General	Ligase activity (GO:0016874)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Integral to membrane (GO:0016021)	-
13795	-	NP_055527.1	SETD1A	General	Methyltransferase activity (GO:0008168)	16253997	Cell differentiation (GO:0030154); Cell proliferation (GO:0008283)	16253997,12670868	Nucleus (GO:0005634)	,12670868,16253997,
13796	-	NP_055645.1	ZBTB39	General	DNA binding (GO:0003677)	-	Nucleobase, nucleoside, nucleotide and nucleic acid transport (GO:0015931)	-	Nucleus (GO:0005634)	-
13797	-	NP_056040.2	KIAA0367	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13798	-	NP_001124330.1	PPIP5K1	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13799	-	NP_055472.1	KIAA0406	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Cytoplasm (GO:0005737)	17081983
13800	-	NP_056139.1	RRP8	General	Methyltransferase activity (GO:0008168)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Nucleolus (GO:0005730)	11790298
13801	-	NP_055670.1	KIAA0415	General	Molecular function unknown (GO:0005554)	-	Cell communication (GO:0007154); Cell-cell signaling (GO:0007267)	9455477,9455477	-	-
13802	-	NP_056031.2	PPIP5K2	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13803	-	NP_997189.1	KIAA0495	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13804	-	NP_055511.2	GPRIN2	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13805	-	NP_037450.2	BAT2L1	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13806	-	NP_056017.2	KIAA0556	General	Molecular function unknown (GO:0005554)	-	Cell motility (GO:0006928)	9628581	-	-
13807	-	NP_055510.1	CCDC144A	General	Molecular function unknown (GO:0005554)	-	Cell motility (GO:0006928)	9628581	-	-
13808	-	NP_055962.2	CEP68	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13809	-	NP_001136145.1	KIAA0652	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13810	-	NP_055674.4	-	General	GTPase activator activity (GO:0005096)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
13811	-	NP_055869.1	UHRF1BP1L	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Nucleus (GO:0005634)	17081983
13812	-	NP_055676.2	ATP2C2	General	Calcium ion binding (GO:0005509)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Integral to membrane (GO:0016021)	-
13813	-	NP_055534.1	FAM115A	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13815	-	NP_056120.2	ANGEL1	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13816	-	NP_001026860.2	FAM131B	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13817	-	AAH30245.1	TMEM63A	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Integral to membrane (GO:0016021)	-
13818	-	BAC85469.1	-	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13819	-	AAH71171.1	ENDOD1	General	Molecular function unknown (GO:0005554)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	-	-
13820	-	NP_055739.2	KIAA0831	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13820	13820_1	NP_055739.2	KIAA0831	Isoform_specific	-	-	-	-	Nucleus (GO:0005634)	17081983
13821	-	NP_057019.3	METTL13	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13822	-	NP_055728.1	ADNP2	General	DNA binding (GO:0003677)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	-
13823	-	NP_001124479.1	KIAA0922	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13824	-	NP_055786.1	EFR3B	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13825	-	NP_055744.2	FASTKD2	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13826	-	NP_055775.2	ARSG	General	Catalytic activity (GO:0003824)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	Endoplasmic reticulum (GO:0005783)	12461688
13827	-	NP_055740.3	R3HDM2	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Nucleus (GO:0005634)	-
13828	-	NP_055802.1	IGSF9B	General	Molecular function unknown (GO:0005554)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	-	-
13829	-	NP_056090.1	KIAA1033	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13830	-	NP_055787.1	TCF25	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13831	-	NP_056147.2	NUDCD3	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13832	-	NP_061872.2	FAM190B	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13833	-	NP_065747.1	KIAA1143	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13834	-	NP_065752.1	ISY1	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13835	-	NP_001035540.1	FAM63B	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13836	-	NP_001026881.1	ERGIC1	General	Transporter activity (GO:0005215)	15308636	Transport (GO:0006810)	15308636	Endoplasmic reticulum (GO:0005783); Golgi apparatus (GO:0005794); Cytoplasm (GO:0005737)	15308636,15308636,15308636
13837	-	NP_065761.1	LRRC47	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Cytoplasm (GO:0005737)	17081983
13838	-	NP_001009959.1	ERMN	General	Cytoskeletal protein binding (GO:0008092)	16421295	Cytoskeleton organization and biogenesis (GO:0007010)	16421295	Cytoplasm (GO:0005737)	16421295
13839	-	NP_065177.2	KIAA1191	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13840	-	NP_065764.1	ZNF512B	General	DNA binding (GO:0003677)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	10574462,15561729
13841	-	NP_065767.1	GRAMD1B	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Integral to membrane (GO:0016021)	-
13842	-	BAC86392.1	KIAA1211	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13843	-	NP_065070.1	ANKRD50	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13844	-	NP_065785.2	RIMKLB	General	Molecular function unknown (GO:0005554)	-	Protein metabolism (GO:0019538)	-	-	-
13845	-	NP_065073.3	KIAA1244	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13846	-	NP_065792.1	KIAA1257	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13847	-	NP_065797.2	MAVS	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13848	-	NP_056449.1	KIAA1279	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13849	-	NP_056509.2	ZNF777	General	DNA binding (GO:0003677)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	-	-
13850	-	NP_065826.2	KIAA1324	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	Integral to membrane (GO:0016021)	-
13851	-	NP_060239.2	G2E3	General	Ligase activity (GO:0016874)	17239372	Protein metabolism (GO:0019538)	10718198	Nucleoplasm (GO:0005654); Nucleolus (GO:0005730)	17239372,17239372
13852	-	NP_065831.1	PTCHD2	General	Molecular function unknown (GO:0005554)	-	Cell communication (GO:0007154); Signal transduction (GO:0007165)	-,-	Integral to membrane (GO:0016021)	-
13853	-	NP_065851.1	IFT80	General	Protein binding (GO:0005515)	12421765	Signal transduction (GO:0007165); Cytoskeleton organization and biogenesis (GO:0007010)	-,-	-	-
13854	-	NP_001116436.1	SMEK2	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13855	-	NP_001159694.1	ATPGD1	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13856	-	NP_065868.1	KIAA1407	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13857	-	NP_065878.1	KIAA1430	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13858	-	NP_065880.1	KIAA1432	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13859	-	NP_065883.1	ZNF687	General	DNA binding (GO:0003677)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	10718198	Nucleus (GO:0005634); Cytoplasm (GO:0005737)	17000644,17081983,17081983
13860	-	NP_001103984.1	EBF4	General	Transcription factor activity (GO:0003700)	12139918	Transcription (GO:0006350)	12139918	Nucleus (GO:0005634)	-
13861	-	NP_001073988.1	BAHCC1	General	DNA binding (GO:0003677)	-	Regulation of nucleobase, nucleoside, nucleotide and nucleic acid metabolism (GO:0019219)	-	Nucleus (GO:0005634)	-
13862	-	NP_065895.2	C8orf79	General	Aminomethyltransferase activity (GO:0004047)	-	Metabolism (GO:0008152); Energy pathways (GO:0006091)	-,-	-	-
13863	-	AAH40993.1	SLAIN2	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13864	-	NP_065899.1	KIAA1462	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
13865	-	NP_065902.1	ISLR2	General	Molecular function unknown (GO:0005554)	-	Biological_process unknown (GO:0000004)	-	-	-
